2019-10-29 15:59:12.802 [main] INFO  s.documentation.spring.web.caching.CachingAspect - Caching aspect applied for cache modelProperties with key com.example.demo01.page.Pagination<com.example.demo01.model.OrderBo>(true)
2019-10-29 15:59:12.832 [main] INFO  s.documentation.schema.ModelContextKeyGenerator - Cache Key Generated: com.example.demo01.page.Pagination<com.example.demo01.model.OrderBo>(true)
2019-10-29 15:59:12.832 [main] INFO  s.documentation.spring.web.caching.CachingAspect - Caching aspect applied for cache modelDependencies with key com.example.demo01.page.Pagination<com.example.demo01.model.OrderBo>(true)
2019-10-29 15:59:12.832 [main] INFO  s.d.schema.property.ModelPropertiesKeyGenerator - Cache key generated: com.example.demo01.model.OrderBo(true)
2019-10-29 15:59:12.832 [main] INFO  s.documentation.spring.web.caching.CachingAspect - Caching aspect applied for cache modelProperties with key com.example.demo01.model.OrderBo(true)
2019-10-29 15:59:12.832 [main] INFO  s.d.schema.property.ModelPropertiesKeyGenerator - Cache key generated: com.example.demo01.page.Pagination<com.example.demo01.model.OrderBo>(true)
2019-10-29 15:59:12.832 [main] INFO  s.documentation.spring.web.caching.CachingAspect - Caching aspect applied for cache modelProperties with key com.example.demo01.page.Pagination<com.example.demo01.model.OrderBo>(true)
2019-10-29 15:59:12.832 [main] INFO  s.d.schema.property.ModelPropertiesKeyGenerator - Cache key generated: com.example.demo01.model.OrderBo(true)
2019-10-29 15:59:12.832 [main] INFO  s.documentation.spring.web.caching.CachingAspect - Caching aspect applied for cache modelProperties with key com.example.demo01.model.OrderBo(true)
2019-10-29 15:59:12.842 [main] INFO  s.d.schema.property.ModelPropertiesKeyGenerator - Cache key generated: com.example.demo01.model.OrderBo(true)
2019-10-29 15:59:12.842 [main] INFO  s.documentation.spring.web.caching.CachingAspect - Caching aspect applied for cache modelProperties with key com.example.demo01.model.OrderBo(true)
2019-10-29 15:59:12.842 [main] INFO  s.documentation.spring.web.OperationsKeyGenerator - Cache key generated: /order/detail.com.example.demo01.controller.OrderController.getList.DefaultGenericTypeNamingStrategy
2019-10-29 15:59:12.842 [main] INFO  s.documentation.spring.web.caching.CachingAspect - Caching aspect applied for cache operations with key /order/detail.com.example.demo01.controller.OrderController.getList.DefaultGenericTypeNamingStrategy
2019-10-29 15:59:12.852 [main] INFO  s.d.s.web.ClassOrApiAnnotationResourceGrouping - Group for method getList was order-controller
2019-10-29 15:59:12.862 [main] INFO  s.d.s.web.ClassOrApiAnnotationResourceGrouping - Group for method getList was order-controller
2019-10-29 15:59:12.872 [main] INFO  s.documentation.schema.ModelContextKeyGenerator - Cache Key Generated: java.lang.String(true)
2019-10-29 15:59:12.872 [main] INFO  s.documentation.spring.web.caching.CachingAspect - Caching aspect applied for cache models with key java.lang.String(true)
2019-10-29 15:59:12.872 [main] INFO  s.documentation.schema.ModelContextKeyGenerator - Cache Key Generated: java.lang.String(true)
2019-10-29 15:59:12.872 [main] INFO  s.documentation.spring.web.caching.CachingAspect - Caching aspect applied for cache modelDependencies with key java.lang.String(true)
2019-10-29 15:59:12.872 [main] INFO  s.documentation.spring.web.OperationsKeyGenerator - Cache key generated: /order/index.com.example.demo01.controller.OrderController.index.DefaultGenericTypeNamingStrategy
2019-10-29 15:59:12.872 [main] INFO  s.documentation.spring.web.caching.CachingAspect - Caching aspect applied for cache operations with key /order/index.com.example.demo01.controller.OrderController.index.DefaultGenericTypeNamingStrategy
2019-10-29 15:59:12.872 [main] INFO  s.d.s.web.ClassOrApiAnnotationResourceGrouping - Group for method index was order-controller
2019-10-29 15:59:12.872 [main] INFO  s.d.s.web.ClassOrApiAnnotationResourceGrouping - Group for method index was order-controller
2019-10-29 15:59:12.882 [main] INFO  s.documentation.schema.ModelContextKeyGenerator - Cache Key Generated: java.lang.String(true)
2019-10-29 15:59:12.882 [main] INFO  s.documentation.spring.web.caching.CachingAspect - Caching aspect applied for cache models with key java.lang.String(true)
2019-10-29 15:59:12.882 [main] INFO  s.documentation.schema.ModelContextKeyGenerator - Cache Key Generated: java.lang.String(true)
2019-10-29 15:59:12.882 [main] INFO  s.documentation.spring.web.caching.CachingAspect - Caching aspect applied for cache modelDependencies with key java.lang.String(true)
2019-10-29 15:59:12.882 [main] INFO  s.documentation.schema.ModelContextKeyGenerator - Cache Key Generated: com.example.demo01.model.AdminLoginRequest(false)
2019-10-29 15:59:12.882 [main] INFO  s.documentation.spring.web.caching.CachingAspect - Caching aspect applied for cache models with key com.example.demo01.model.AdminLoginRequest(false)
2019-10-29 15:59:12.882 [main] INFO  s.d.schema.property.ModelPropertiesKeyGenerator - Cache key generated: com.example.demo01.model.AdminLoginRequest(false)
2019-10-29 15:59:12.882 [main] INFO  s.documentation.spring.web.caching.CachingAspect - Caching aspect applied for cache modelProperties with key com.example.demo01.model.AdminLoginRequest(false)
2019-10-29 15:59:12.882 [main] INFO  s.documentation.schema.ModelContextKeyGenerator - Cache Key Generated: com.example.demo01.model.AdminLoginRequest(false)
2019-10-29 15:59:12.882 [main] INFO  s.documentation.spring.web.caching.CachingAspect - Caching aspect applied for cache modelDependencies with key com.example.demo01.model.AdminLoginRequest(false)
2019-10-29 15:59:12.882 [main] INFO  s.d.schema.property.ModelPropertiesKeyGenerator - Cache key generated: com.example.demo01.model.AdminLoginRequest(false)
2019-10-29 15:59:12.882 [main] INFO  s.documentation.spring.web.caching.CachingAspect - Caching aspect applied for cache modelProperties with key com.example.demo01.model.AdminLoginRequest(false)
2019-10-29 15:59:12.882 [main] INFO  s.documentation.spring.web.OperationsKeyGenerator - Cache key generated: /login/create.com.example.demo01.controller.LoginController.createSession.DefaultGenericTypeNamingStrategy
2019-10-29 15:59:12.882 [main] INFO  s.documentation.spring.web.caching.CachingAspect - Caching aspect applied for cache operations with key /login/create.com.example.demo01.controller.LoginController.createSession.DefaultGenericTypeNamingStrategy
2019-10-29 15:59:12.882 [main] INFO  s.d.s.web.ClassOrApiAnnotationResourceGrouping - Group for method createSession was 用户登录接口
2019-10-29 15:59:12.882 [main] INFO  s.d.s.web.ClassOrApiAnnotationResourceGrouping - Group for method createSession was 用户登录接口
2019-10-29 15:59:13.022 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8090"]
2019-10-29 15:59:13.042 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8090 (http) with context path ''
2019-10-29 15:59:13.042 [main] INFO  com.example.demo01.Demo01Application - Started Demo01Application in 4.45 seconds (JVM running for 5.114)
